text,label,source
2026-04-02T09:54:54.792985Z level=INFO req_id=r-000000 method=GET route=/api/items status=200 latency_ms=96 size_kb=55 bytes=1024,0,template_annotation
2026-04-02T12:32:25.546452Z level=INFO req_id=r-040139 method=GET route=/api/items status=200 latency_ms=180 size_kb=92 bytes=1024,0,raw_heuristic
2026-04-02T12:32:25.747193Z level=INFO req_id=r-040140 method=GET route=/api/items status=200 latency_ms=55 size_kb=114 bytes=1024,0,raw_heuristic
2026-04-02T12:32:25.948988Z level=INFO req_id=r-040141 method=GET route=/api/items status=200 latency_ms=34 size_kb=100 bytes=1024,0,raw_heuristic
2026-04-02T12:32:26.197590Z level=INFO req_id=r-040142 method=GET route=/api/items status=200 latency_ms=108 size_kb=113 bytes=1024,0,raw_heuristic
2026-04-02T12:32:26.508698Z level=INFO req_id=r-040143 method=GET route=/api/items status=200 latency_ms=175 size_kb=21 bytes=1024,0,raw_heuristic
2026-04-02T12:32:27.007917Z level=INFO req_id=r-040144 method=GET route=/api/items status=200 latency_ms=123 size_kb=30 bytes=1024,0,raw_heuristic
2026-04-02T12:32:27.259584Z level=INFO req_id=r-040145 method=GET route=/api/items status=200 latency_ms=130 size_kb=76 bytes=1024,0,raw_heuristic
2026-04-02T12:32:27.460568Z level=INFO req_id=r-040146 method=GET route=/api/items status=200 latency_ms=113 size_kb=14 bytes=1024,0,raw_heuristic
2026-04-02T12:32:27.829476Z level=INFO req_id=r-040147 method=GET route=/api/items status=200 latency_ms=121 size_kb=115 bytes=1024,0,raw_heuristic
2026-04-02T12:32:28.037034Z level=INFO req_id=r-040148 method=GET route=/api/items status=200 latency_ms=119 size_kb=24 bytes=1024,0,raw_heuristic
2026-04-02T12:32:28.283313Z level=INFO req_id=r-040149 method=GET route=/api/items status=200 latency_ms=216 size_kb=69 bytes=1024,0,raw_heuristic
2026-04-02T12:32:28.490401Z level=INFO req_id=r-040150 method=GET route=/api/items status=200 latency_ms=25 size_kb=32 bytes=1024,0,raw_heuristic
2026-04-02T12:32:28.698431Z level=INFO req_id=r-040151 method=GET route=/api/items status=200 latency_ms=92 size_kb=54 bytes=1024,0,raw_heuristic
2026-04-02T12:32:28.901178Z level=INFO req_id=r-040152 method=GET route=/api/items status=200 latency_ms=151 size_kb=106 bytes=1024,0,raw_heuristic
2026-04-02T12:32:29.102760Z level=INFO req_id=r-040153 method=GET route=/api/items status=200 latency_ms=108 size_kb=24 bytes=1024,0,raw_heuristic
2026-04-02T12:32:29.303879Z level=INFO req_id=r-040154 method=GET route=/api/items status=200 latency_ms=71 size_kb=73 bytes=1024,0,raw_heuristic
2026-04-02T12:32:29.511744Z level=INFO req_id=r-040155 method=GET route=/api/items status=200 latency_ms=210 size_kb=30 bytes=1024,0,raw_heuristic
2026-04-02T12:32:29.733427Z level=INFO req_id=r-040156 method=GET route=/api/items status=200 latency_ms=98 size_kb=119 bytes=1024,0,raw_heuristic
2026-04-02T12:32:29.935953Z level=INFO req_id=r-040157 method=GET route=/api/items status=200 latency_ms=30 size_kb=85 bytes=1024,0,raw_heuristic
2026-04-02T12:32:30.136633Z level=INFO req_id=r-040158 method=GET route=/api/items status=200 latency_ms=71 size_kb=109 bytes=1024,0,raw_heuristic
2026-04-02T12:32:30.337267Z level=INFO req_id=r-040159 method=GET route=/api/items status=200 latency_ms=102 size_kb=111 bytes=1024,0,raw_heuristic
2026-04-02T12:32:30.543113Z level=INFO req_id=r-040160 method=GET route=/api/items status=200 latency_ms=122 size_kb=26 bytes=1024,0,raw_heuristic
2026-04-02T12:32:30.744298Z level=INFO req_id=r-040161 method=GET route=/api/items status=200 latency_ms=87 size_kb=73 bytes=1024,0,raw_heuristic
2026-04-02T12:32:30.954750Z level=INFO req_id=r-040162 method=GET route=/api/items status=200 latency_ms=145 size_kb=104 bytes=1024,0,raw_heuristic
2026-04-02T12:32:31.155345Z level=INFO req_id=r-040163 method=GET route=/api/items status=200 latency_ms=120 size_kb=71 bytes=1024,0,raw_heuristic
